Categoria,Descrição dos alimentos,Umidade (%),Energia (kcal),Proteína (g),Lipídeos (g),Carboidrato (g)
Alimentos preparados,"Cuscuz, paulista","68,9",142,"2,6","4,6","22,5"
"Verduras, hortaliças e derivados","Vagem, crua","92,2",25,"1,8","0,2","5,3"
Carnes e derivados (Mar),"Pescada, filé, molho escabeche","74,5",142,"11,8","8,0","5,0"
Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo cola","91,3",34,"0,0","0,0","8,7"
Carnes e derivados,"Carne, bovina, músculo, sem gordura, cru","72,4",142,"21,6","5,5","0,0"
"Verduras, hortaliças e derivados","Abóbora, pescoço, crua","92,5",24,"0,7","0,1","6,1"
Carnes e derivados,"Carne, bovina, flanco, sem gordura, cru","72,1",141,"20,0","6,2","0,0"
"Verduras, hortaliças e derivados","Abobrinha, italiana, refogada","93,5",24,"1,1","0,8","4,2"
Carnes e derivados,"Carne, bovina, fígado, cru","71,3",141,"20,7","5,4","1,1"
"Verduras, hortaliças e derivados","Catalonha, crua","91,8",24,"1,9","0,3","4,8"
Carnes e derivados,"Carne, bovina, paleta, sem gordura, crua","72,1",141,"21,0","5,7","0,0"
"Verduras, hortaliças e derivados","Pimentão, vermelho, cru","92,9",23,"1,0","0,1","5,5"
Leite e derivados,"Queijo, ricota","73,6",140,"12,6","8,1","3,8"
Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo água tônica","92,0",31,"0,0","0,0","8,0"
Carnes e derivados (Mar),"Bacalhau, salgado, refogado","65,9",140,"24,0","3,6","1,2"
"Verduras, hortaliças e derivados","Couve-flor, crua","92,8",23,"1,9","0,2","4,5"
Cereais e derivados,"Milho, verde, cru","63,5",138,"6,6","0,6","28,6"
Bebidas (alcoólicas e não alcoólicas),"Bebida isotônica, sabores variados","93,5",26,"0,0","0,0","6,4"
Carnes e derivados,"Carne, bovina, bucho, cru","75,0",137,"20,5","5,5","0,0"
Outros alimentos industrializados,"Azeitona, verde, conserva","76,3",137,"0,9","14,2","4,1"
Bebidas (alcoólicas e não alcoólicas),"Coco, água de","94,3",22,"0,0","0,0","5,3"
Carnes e derivados,"Carne, bovina, acém, moído, cru","72,7",137,"19,4","5,9","0,0"
Miscelâneas,Tempero a base de sal,"7,7",21,"2,7","0,3","2,1"
Carnes e derivados,"Quibe, assado","69,0",136,"14,6","2,7","12,9"
"Verduras, hortaliças e derivados","Pimentão, verde, cru","93,5",21,"1,1","0,2","4,9"
Carnes e derivados (Mar),"Bacalhau, salgado, cru","47,9",136,"29,0","1,3","0,0"
Bebidas (alcoólicas e não alcoólicas),"Café, infusão 10%","97,4",9,"0,7","0,1","1,5"
Alimentos preparados,"Baião de dois, arroz e feijão-de-corda","69,1",136,"6,2","3,2","20,4"
"Verduras, hortaliças e derivados","Acelga, crua","93,2",21,"1,4","0,1","4,6"
Carnes e derivados,"Carne, bovina, lagarto, cru","71,0",135,"20,5","5,2","0,0"
Alimentos preparados,Maniçoba,"76,4",134,"10,0","8,7","3,4"
Bebidas (alcoólicas e não alcoólicas),"Chá, mate, infusão 5%","99,3",3,"0,0","0,1","0,6"
Carnes e derivados,"Carne, bovina, picanha, sem gordura, crua","72,4",134,"21,3","4,7","0,0"
Bebidas (alcoólicas e não alcoólicas),"Chá, preto, infusão 5%","99,4",2,"0,0","0,0","0,6"
Carnes e derivados,"Carne, bovina, patinho, sem gordura, cru","72,9",133,"21,7","4,5","0,0"
"Verduras, hortaliças e derivados","Abobrinha, italiana, crua","93,9",19,"1,1","0,1","4,3"
Carnes e derivados,"Carne, bovina, bucho, cozido","74,1",133,"21,6","4,5","0,0"
"Verduras, hortaliças e derivados","Couve-flor, cozida","94,3",19,"1,2","0,3","3,9"
Carnes e derivados (Mar),"Dourada de água doce, fresca","76,2",131,"18,8","5,6","0,0"
Frutas e derivados,"Pitanga, polpa, congelada","94,6",19,"0,3","0,1","4,8"
Carnes e derivados,"Carne, bovina, capa de contra-filé, sem gordura, crua","73,0",131,"21,5","4,3","0,0"
"Verduras, hortaliças e derivados","Aipo, cru","93,8",19,"0,8","0,1","4,3"
Carnes e derivados (Mar),"Lambari, congelado, cru","71,9",131,"16,8","6,5","0,0"
"Verduras, hortaliças e derivados","Berinjela, cozida","94,4",19,"0,7","0,1","4,5"
Cereais e derivados,"Arroz, tipo 2, cozido","68,7",130,"2,6","0,4","28,2"
Carnes e derivados (Mar),"Abadejo, filé, congelado, grelhado","71,0",130,"27,6","1,3","0,0"
Bebidas (alcoólicas e não alcoólicas),"Chá, erva-doce, infusão 5%","99,6",1,"0,0","0,0","0,4"
Carnes e derivados,"Frango, inteiro, sem pele, cru","74,9",129,"20,6","4,6","0,0"
"Verduras, hortaliças e derivados","Mostarda, folha, crua","93,4",18,"2,1","0,2","3,2"
Carnes e derivados,Apresuntado,"73,7",129,"13,5","6,7","2,9"
"Verduras, hortaliças e derivados","Almeirão, cru","93,7",18,"1,8","0,2","3,3"
Cereais e derivados,"Arroz, tipo 1, cozido","69,1",128,"2,5","0,2","28,1"
"Verduras, hortaliças e derivados","Repolho, branco, cru","94,7",17,"0,9","0,1","3,9"
Carnes e derivados (Mar),"Corimba, cru","75,6",128,"17,4","6,0","0,0"
"Verduras, hortaliças e derivados","Chuchu, cru","94,8",17,"0,7","0,1","4,1"
Frutas e derivados,"Banana, da terra, crua","63,9",128,"1,4","0,2","33,7"
"Verduras, hortaliças e derivados","Agrião, cru","93,9",17,"2,7","0,2","2,3"
Carnes e derivados,"Presunto, com capa de gordura","73,9",128,"14,4","6,8","1,4"
"Verduras, hortaliças e derivados","Espinafre, Nova Zelândia, cru","94,0",16,"2,0","0,2","2,6"
"Verduras, hortaliças e derivados","Jurubeba, crua","66,6",126,"4,4","3,9","23,1"
"Verduras, hortaliças e derivados","Tomate, com semente, cru","95,1",15,"1,1","0,2","3,1"
"Verduras, hortaliças e derivados","Mandioca, cozida","68,7",125,"0,6","0,3","30,1"
"Verduras, hortaliças e derivados","Abobrinha, italiana, cozida","95,3",15,"1,1","0,2","3,0"
Alimentos preparados,Dobradinha,"75,3",125,"19,8","4,4","0,0"
"Verduras, hortaliças e derivados","Chicória, crua","95,1",14,"1,1","0,1","2,9"
"Verduras, hortaliças e derivados","Alface, lisa, crua","95,0",14,"1,7","0,1","2,4"
"Verduras, hortaliças e derivados","Maxixe, cru","95,1",14,"1,4","0,1","2,7"
"Verduras, hortaliças e derivados","Rabanete, cru","95,1",14,"1,4","0,1","2,7"
"Verduras, hortaliças e derivados","Rúcula, crua","94,8",13,"1,8","0,1","2,2"
"Verduras, hortaliças e derivados","Alface, roxa, crua","95,7",13,"0,9","0,2","2,5"
"Verduras, hortaliças e derivados","Abóbora, moranga, crua","95,9",12,"1,0","0,1","2,7"
"Verduras, hortaliças e derivados","Alface, crespa, crua","96,1",11,"1,3","0,2","1,7"
"Verduras, hortaliças e derivados","Alface, americana, crua","97,2",9,"0,6","0,1","1,7"
Frutas e derivados,"Laranja, pêra, suco","91,3",33,"0,7","0,1","7,6"
Frutas e derivados,"Limão, galego, suco","91,8",22,"0,6","0,1","7,3"
