Categoria,Descrição dos alimentos,Umidade (%),Energia (kcal),Proteína (g),Lipídeos (g),Carboidrato (g)
"Verduras, hortaliças e derivados","Cebolinha, crua","93,9",20,"1,9","0,4","3,4"
Leguminosas e derivados,"Soja, farinha","5,8",404,"36,0","14,6","38,4"
Frutas e derivados,"Goiaba, doce, cascão","20,3",286,"0,4","0,1","78,7"
Leite e derivados,"Leite, de vaca, achocolatado","80,9",83,"2,1","2,2","14,2"
Cereais e derivados,"Curau, milho verde, mistura para","3,9",402,"2,2","13,4","79,8"
Carnes e derivados (Mar),"Sardinha, conserva em óleo","55,1",285,"15,9","24,0","0,0"
"Verduras, hortaliças e derivados","Catalonha, refogada","87,4",63,"2,0","4,8","4,8"
Carnes e derivados,"Porco, costela, assada","36,9",402,"30,2","30,3","0,0"
Carnes e derivados (Mar),"Pescada, filé, com farinha de trigo, frito","53,2",283,"21,4","19,1","5,0"
"Verduras, hortaliças e derivados","Batata, baroa, cozida","79,3",80,"0,9","0,2","18,9"
Produtos açucarados,"Achocolatado, pó","1,1",401,"4,2","2,2","91,2"
Carnes e derivados,"Coxinha de frango, frita","42,2",283,"9,6","11,8","34,5"
Frutas e derivados,"Ciriguela, crua","78,7",76,"1,4","0,4","18,9"
Carnes e derivados,Salame,"34,7",398,"25,8","30,6","2,9"
Frutas e derivados,"Banana, doce em barra","21,1",280,"2,2","0,1","75,7"
Cereais e derivados,"Curau, milho verde","81,6",78,"2,4","1,6","13,9"
Cereais e derivados,"Cereais, mingau, milho, infantil","4,7",394,"6,4","1,1","87,3"
Carnes e derivados,"Porco, bisteca, grelhada","51,8",280,"28,9","17,4","0,0"
Alimentos preparados,"Charuto, de repolho","81,5",78,"6,8","1,1","10,1"
Cereais e derivados,"Aveia, flocos, crua","9,1",394,"13,9","8,5","66,6"
Carnes e derivados,"Lingüiça, porco, frita","54,6",280,"20,5","21,3","0,0"
Frutas e derivados,"Laranja, da terra, crua","85,4",51,"1,1","0,2","12,9"
Cereais e derivados,"Pastel, de carne, frito","22,9",388,"10,1","20,1","43,8"
Carnes e derivados,"Carne, bovina, contra-filé, com gordura, grelhado","51,7",278,"32,4","15,5","0,0"
Frutas e derivados,"Banana, pacova, crua","77,7",78,"1,2","0,1","20,3"
Frutas e derivados,"Tamarindo, cru","22,0",276,"3,2","0,5","72,5"
"Verduras, hortaliças e derivados","Alfavaca, crua","90,2",29,"2,7","0,5","5,2"
Carnes e derivados,"Carne, bovina, contra-filé de costela, grelhado","52,2",275,"29,9","16,3","0,0"
Miscelâneas,"Fermento, biológico, levedura, tablete","71,9",90,"17,0","1,5","7,7"
Cereais e derivados,"Creme de arroz, pó","7,3",386,"7,0","1,2","83,9"
Alimentos preparados,Bolinho de arroz,"41,5",274,"8,0","8,3","41,7"
"Verduras, hortaliças e derivados","Taioba, crua","89,2",34,"2,9","0,9","5,4"
Leguminosas e derivados,"Tremoço, cru","9,7",381,"33,6","10,3","43,8"
Carnes e derivados,"Carne, bovina, almôndegas, fritas","48,1",272,"18,2","15,8","14,3"
"Verduras, hortaliças e derivados","Batata, doce, cozida","80,4",77,"0,6","0,1","18,4"
Cereais e derivados,"Cereais, mistura para vitamina, trigo, cevada e aveia","4,4",381,"8,9","2,1","81,6"
Frutas e derivados,"Goiaba, doce em pasta","24,8",269,"0,6","0,0","74,1"
"Verduras, hortaliças e derivados","Caruru, cru","87,6",34,"3,2","0,6","6,0"
Carnes e derivados,Mortadela,"56,4",269,"12,0","21,6","5,8"
"Verduras, hortaliças e derivados","Quiabo, cru","90,6",30,"1,9","0,3","6,4"
Carnes e derivados,"Empada, de frango, pré-cozida","32,0",377,"7,3","22,9","35,5"
Ovos e derivados,"Omelete, de queijo","60,5",268,"15,6","22,0","0,4"
Cereais e derivados,"Milho, verde, enlatado, drenado","76,2",98,"3,2","2,4","17,1"
Cereais e derivados,"Torrada, pão francês","9,0",377,"10,5","3,3","74,6"
"Verduras, hortaliças e derivados","Batata, inglesa, frita","44,1",267,"5,0","13,1","35,6"
Frutas e derivados,"Cacau, cru","79,2",74,"1,0","0,1","19,4"
Carnes e derivados,"Porco, rabo, salgado, cru","43,8",377,"15,6","34,5","0,0"
Leite e derivados,"Queijo, minas, frescal","56,1",264,"17,4","20,2","3,2"
Leguminosas e derivados,"Feijão, rosinha, cozido","82,6",68,"4,5","0,5","11,8"
Cereais e derivados,"Cereal matinal, milho, açúcar","4,3",377,"4,7","0,7","88,8"
Carnes e derivados,"Carne, bovina, charque, cozido","45,8",263,"36,4","11,9","0,0"
Frutas e derivados,"Manga, Palmer, crua","79,7",72,"0,4","0,2","19,4"
Cereais e derivados,"Mingau tradicional, pó","8,1",373,"0,6","0,4","89,3"
Carnes e derivados,"Porco, pernil, assado","49,3",262,"32,1","13,9","0,0"
"Verduras, hortaliças e derivados","Jiló, cru","91,6",27,"1,4","0,2","6,2"
Carnes e derivados,"Carne, bovina, costela, assada","43,2",373,"28,8","27,7","0,0"
Frutas e derivados,"Tucumã, cru","51,3",262,"2,1","19,1","26,5"
Frutas e derivados,"Jambo, cru","92,1",27,"0,9","0,1","6,5"
Cereais e derivados,"Macarrão, trigo, cru","10,2",371,"10,0","1,3","77,9"
Carnes e derivados (Mar),"Corimbatá, assado","59,9",261,"19,9","19,6","0,0"
Leite e derivados,"Iogurte, sabor morango","84,6",70,"2,7","2,3","9,7"
Cereais e derivados,"Farinha, de rosca","9,8",371,"11,4","1,5","75,8"
Carnes e derivados,"Frango, sobrecoxa, com pele, assada","55,0",260,"28,7","15,2","0,0"
Frutas e derivados,"Maracujá, cru","82,9",68,"2,0","2,1","12,3"
Cereais e derivados,"Macarrão, trigo, cru, com ovos","10,6",371,"10,3","2,0","76,6"
Carnes e derivados,"Carne, bovina, peito, sem gordura, cru","61,5",259,"17,6","20,4","0,0"
"Verduras, hortaliças e derivados","Batata, inglesa, sauté","83,1",68,"1,3","0,9","14,1"
Cereais e derivados,"Cereais, milho, flocos, com sal","9,3",370,"7,3","1,6","80,8"
Carnes e derivados,"Porco, orelha, salgada, crua","59,7",258,"18,5","19,9","0,0"
Leguminosas e derivados,"Ervilha, enlatada, drenada","80,1",74,"4,6","0,4","13,4"
Produtos açucarados,"Açúcar, mascavo","3,3",369,"0,8","0,1","94,5"
Carnes e derivados,"Hambúrguer, bovino, frito","52,5",258,"20,0","17,0","6,3"
Leite e derivados,"Iogurte, sabor pêssego","85,1",68,"2,5","2,3","9,4"
Cereais e derivados,"Cereal matinal, milho","5,5",365,"7,2","1,0","83,8"
Produtos açucarados,Marmelada,"28,5",257,"0,4","0,1","70,8"
"Verduras, hortaliças e derivados","Espinafre, Nova Zelândia, refogado","86,6",67,"2,7","5,4","4,2"
"Verduras, hortaliças e derivados","Farinha, de mandioca, torrada","8,3",365,"1,2","0,3","89,2"
Carnes e derivados (Mar),"Sardinha, frita","48,5",257,"33,4","12,7","0,0"
Frutas e derivados,"Fruta-pão, crua","80,9",67,"1,1","0,2","17,2"
Cereais e derivados,"Cereais, milho, flocos, sem sal","11,2",363,"6,9","1,2","80,4"
Leite e derivados,"Queijo, requeijão, cremoso","62,5",257,"9,6","23,4","2,4"
"Verduras, hortaliças e derivados","Couve, manteiga, refogada ","81,5",90,"1,7","6,6","8,7"
"Verduras, hortaliças e derivados","Pão, de queijo, assado","33,7",363,"5,1","24,6","34,2"
Carnes e derivados,"Porco, costela, crua","61,2",256,"18,0","19,8","0,0"
Cereais e derivados,"Farinha, de arroz, enriquecida","12,7",363,"1,3","0,3","85,5"
Alimentos preparados,Vatapá,"58,4",255,"6,0","23,2","9,7"
Frutas e derivados,"Goiaba, vermelha, com casca, crua","85,0",54,"1,1","0,4","13,0"
Leite e derivados,"Leite, de vaca, desnatado, pó","3,1",362,"34,7","0,9","53,0"
Carnes e derivados,"Frango, sobrecoxa, com pele, crua","63,6",255,"15,5","20,9","0,0"
Leguminosas e derivados,"Soja, queijo (tofu)","86,6",64,"6,6","4,0","2,1"
Carnes e derivados,"Quibe, frito","54,0",254,"14,9","15,8","12,3"
"Verduras, hortaliças e derivados","Farinha, de mandioca, crua","9,4",361,"1,6","0,3","87,9"
Cereais e derivados,"Pão, trigo, forma, integral","34,7",253,"9,4","3,7","49,9"
Frutas e derivados,"Manga, Haden, crua","82,3",64,"0,4","0,3","16,7"
Cereais e derivados,"Farinha, de trigo","13,0",360,"9,8","1,4","75,1"
Cereais e derivados,"Pão, glúten, forma","40,7",253,"12,0","2,7","44,1"
Frutas e derivados,"Abacate, cru","83,8",96,"1,2","8,4","6,0"
"Verduras, hortaliças e derivados","Farinha, de puba","9,8",360,"1,6","0,5","87,3"
Carnes e derivados,"Caldo de galinha, tablete","3,4",251,"6,3","20,4","10,6"
Leite e derivados,"Queijo, prato","42,4",360,"22,7","29,1","1,9"
Carnes e derivados,"Carne, bovina, charque, cru","44,5",249,"22,7","16,8","0,0"
Frutas e derivados,"Maçã, Argentina, com casca, crua","82,6",63,"0,2","0,2","16,6"
Cereais e derivados,"Arroz, integral, cru","12,2",360,"7,3","1,9","77,5"
Carnes e derivados,"Croquete, de carne, cru","56,0",246,"12,0","15,6","13,9"
Frutas e derivados,"Abiu, cru","83,1",62,"0,8","0,7","14,9"
Carnes e derivados,"Empada de frango, pré-cozida, assada","28,2",358,"6,9","15,6","47,5"
Carnes e derivados,"Lingüiça, frango, frita","59,6",245,"18,3","18,5","0,0"
Frutas e derivados,"Graviola, crua","82,2",62,"0,8","0,2","15,8"
Cereais e derivados,"Arroz, tipo 2, cru","13,2",358,"7,2","0,3","78,9"
Carnes e derivados,"Lingüiça, frango, grelhada","58,6",244,"18,2","18,4","0,0"
Frutas e derivados,"Goiaba, branca, com casca, crua","85,7",52,"0,9","0,5","12,4"
Cereais e derivados,"Arroz, tipo 1, cru","13,2",358,"7,2","0,3","78,8"
Carnes e derivados,"Frango, caipira, inteiro, com pele, cozido","59,7",243,"23,9","15,6","0,0"
Frutas e derivados,"Caqui, chocolate, cru","79,7",71,"0,4","0,1","19,3"
Carnes e derivados,"Carne, bovina, costela, crua","52,7",358,"16,7","31,8","0,0"
Carnes e derivados (Mar),"Salmão, sem pele, fresco, grelhado","58,1",243,"26,1","14,5","0,0"
"Verduras, hortaliças e derivados","Cará, cru","73,7",96,"2,3","0,1","23,0"
Cereais e derivados,"Canjica, branca, crua","13,6",358,"7,2","1,0","78,1"
Carnes e derivados,"Carne, bovina, miolo de alcatra, sem gordura, grelhado","52,4",241,"31,9","11,6","0,0"
Leguminosas e derivados,"Feijão, fradinho, cozido","80,0",78,"5,1","0,6","13,5"
Leguminosas e derivados,"Grão-de-bico, cru","12,3",355,"21,2","5,4","57,9"
Carnes e derivados,"Caldo de carne, tablete","2,9",241,"7,8","16,6","15,1"
Leguminosas e derivados,"Lentilha, cozida","76,3",93,"6,3","0,5","16,3"
Cereais e derivados,"Milho, fubá, cru","11,5",353,"7,2","1,9","78,9"
Ovos e derivados,"Ovo, de galinha, inteiro, frito","63,5",240,"15,6","18,6","1,2"
Frutas e derivados,"Jabuticaba, crua","83,6",58,"0,6","0,1","15,3"
Ovos e derivados,"Ovo, de galinha, gema, cozida/10minutos","50,0",353,"15,9","30,8","1,6"
Carnes e derivados,"Carne, bovina, capa de contra-filé, sem gordura, grelhada","53,7",239,"35,1","10,0","0,0"
Frutas e derivados,"Açaí, polpa, congelada","88,7",58,"0,8","3,9","6,2"
Produtos açucarados,Rapadura,"7,1",352,"1,0","0,1","90,8"
Carnes e derivados (Mar),"Corimbatá, cozido","64,6",239,"20,1","16,9","0,0"
Carnes e derivados,"Carne, bovina, contra-filé, à milanesa","42,2",352,"20,6","24,0","12,2"
Carnes e derivados,"Carne, bovina, picanha, sem gordura, grelhada","54,6",238,"31,9","11,3","0,0"
Leguminosas e derivados,"Feijão, preto, cozido","80,2",77,"4,5","0,5","14,0"
Carnes e derivados,"Frango, sobrecoxa, sem pele, assada","55,6",233,"29,2","12,0","0,0"
Alimentos preparados,Tabule,"85,8",57,"2,0","1,2","10,6"
Cereais e derivados,"Farinha, de milho, amarela","11,8",351,"7,2","1,5","79,1"
Carnes e derivados (Mar),"Camarão, Sete Barbas, sem cabeça, com casca, frito","61,0",231,"18,4","15,6","2,9"
Leguminosas e derivados,"Feijão, carioca, cozido","80,4",76,"4,8","0,5","13,6"
Carnes e derivados (Mar),"Manjuba, frita","40,7",349,"30,1","24,5","0,0"
Carnes e derivados (Mar),"Salmão, filé, com pele, fresco,  grelhado","60,9",229,"23,9","14,0","0,0"
Alimentos preparados,"Tapioca, com manteiga","24,9",348,"0,1","10,9","63,6"
Carnes e derivados,"Lingüiça, porco, crua","62,5",227,"16,1","17,6","0,0"
Carnes e derivados,"Croquete, de carne, frito","39,2",347,"16,9","22,7","18,1"
Carnes e derivados,"Frango, inteiro, com pele, cru","66,5",226,"16,4","17,3","0,0"
Leite e derivados,"Bebida láctea, pêssego","87,7",55,"2,1","1,9","7,6"
Leguminosas e derivados,"Guandu, cru","11,4",344,"19,0","2,1","64,0"
Carnes e derivados,"Carne, bovina, fígado, grelhado","55,0",225,"29,9","9,0","4,2"
Leguminosas e derivados,"Feijão, rajado, cozido","77,9",85,"5,5","0,4","15,3"
Carnes e derivados (Mar),"Manjuba, com farinha de trigo, frita","41,3",344,"23,5","22,6","10,2"
Carnes e derivados (Mar),"Pescada, branca, frita","57,0",223,"27,4","11,8","0,0"
Leguminosas e derivados,"Ervilha, em vagem","76,8",88,"7,5","0,5","14,2"
Cereais e derivados,"Pão, aveia, forma","19,9",343,"12,4","5,7","59,6"
Carnes e derivados,"Carne, bovina, lagarto, cozido","57,6",222,"32,9","9,1","0,0"
Frutas e derivados,"Uva, Itália, crua","85,0",53,"0,7","0,2","13,6"
Leguminosas e derivados,"Feijão, fradinho, cru","12,7",339,"20,2","2,4","61,2"
Carnes e derivados,"Frango, coração, cru","69,1",222,"12,6","18,6","0,0"
Leguminosas e derivados,"Lentilha, crua","11,5",339,"23,2","0,8","62,0"
Leite e derivados,Creme de Leite,"70,9",221,"1,5","22,5","4,5"
Leguminosas e derivados,"Feijão, roxo, cozido","80,0",77,"5,7","0,5","12,9"
Carnes e derivados,"Carne, bovina, peito, sem gordura, cozido","51,2",338,"22,2","27,0","0,0"
Carnes e derivados,"Carne, bovina, cupim, cru","64,8",221,"19,5","15,3","0,0"
Carnes e derivados,"Carne, bovina, fraldinha, com gordura, cozida","49,7",338,"24,2","26,0","0,0"
Carnes e derivados,"Frango, filé, à milanesa","54,9",221,"28,5","7,8","7,5"
Leguminosas e derivados,"Feijão, jalo, cozido","75,8",93,"6,1","0,5","16,5"
Leguminosas e derivados,"Feijão, rosinha, cru","12,0",337,"20,9","1,3","62,2"
Carnes e derivados,"Carne, bovina, fraldinha, com gordura, crua","65,4",221,"17,6","16,1","0,0"
Carnes e derivados (Mar),"Abadejo, filé, congelado, assado","74,3",112,"23,5","1,2","0,0"
Cereais e derivados,"Farinha, de centeio, integral","10,8",336,"12,5","1,8","73,3"
Cereais e derivados,"Lasanha, massa fresca, crua","45,0",220,"7,0","1,3","45,1"
Carnes e derivados (Mar),"Pescada, branca, crua","79,6",111,"16,3","4,6","0,0"
Carnes e derivados,"Carne, bovina, filé mingnon, sem gordura, grelhado","57,0",220,"32,8","8,8","0,0"
Frutas e derivados,"Manga, Tommy Atkins, crua","85,8",51,"0,9","0,2","12,8"
Carnes e derivados,"Carne, bovina, patinho, sem gordura, grelhado","55,2",219,"35,9","7,3","0,0"
Carnes e derivados (Mar),"Pescada, filé, cru","79,5",107,"16,7","4,0","0,0"
Carnes e derivados,"Carne, bovina, coxão mole, sem gordura, cozido","58,0",219,"32,4","8,9","0,0"
Frutas e derivados,"Uva, Rubi, crua","86,1",49,"0,6","0,2","12,7"
Nozes e sementes,"Pupunha, cozida","54,5",219,"2,5","12,8","29,6"
Carnes e derivados,"Frango, fígado, cru","77,8",106,"17,6","3,5","0,0"
Carnes e derivados,"Lingüiça, frango, crua","64,8",218,"14,2","17,4","0,0"
Frutas e derivados,"Cupuaçu, polpa, congelada","86,6",49,"0,8","0,6","11,4"
Carnes e derivados,"Carne, bovina, capa de contra-filé, com gordura, crua","64,8",217,"19,2","15,0","0,0"
Frutas e derivados,"Abacaxi, cru","86,3",48,"0,9","0,1","12,3"
Carnes e derivados,"Carne, bovina, coxão duro, sem gordura, cozido","58,5",217,"31,9","8,9","0,0"
Frutas e derivados,"Manga, polpa, congelada","86,5",48,"0,4","0,2","12,5"
"Verduras, hortaliças e derivados","Abóbora, cabotian, cozida","86,4",48,"1,4","0,7","10,8"
Carnes e derivados,"Carne, bovina, língua, crua","65,0",215,"17,1","15,8","0,0"
Produtos açucarados,"Geléia, mocotó, natural","73,5",106,"2,1","0,1","24,2"
Carnes e derivados,"Frango, coxa, com pele, assada","59,8",215,"28,5","10,4","0,1"
Alimentos preparados,Tacacá,"85,2",47,"7,0","0,4","3,4"
Carnes e derivados,"Hambúrguer, bovino, cru","63,6",215,"13,2","16,2","4,2"
Frutas e derivados,"Laranja, valência, crua","86,9",46,"0,8","0,2","11,7"
Carnes e derivados,"Carne, bovina, acém, sem gordura, cozido","60,4",215,"27,3","10,9","0,0"
Frutas e derivados,"Carambola, crua","87,1",46,"0,9","0,2","11,5"
Carnes e derivados,"Frango, asa, com pele, crua","67,5",213,"18,1","15,1","0,0"
Frutas e derivados,"Laranja, lima, crua","87,0",46,"1,1","0,1","11,5"
Carnes e derivados,"Carne, bovina, picanha, com gordura, crua","65,6",213,"18,8","14,7","0,0"
Carnes e derivados (Mar),"Corvina de água doce, crua","79,2",101,"18,9","2,2","0,0"
Carnes e derivados,"Carne, bovina, acém, moído, cozido","61,6",212,"26,7","10,9","0,0"
Carnes e derivados,"Frango, peito, com pele, assado","58,5",212,"33,4","7,6","0,0"
Frutas e derivados,"Laranja, baía, crua","87,1",45,"1,0","0,1","11,5"
Carnes e derivados,"Porco, lombo, assado","56,6",210,"35,7","6,4","0,0"
Frutas e derivados,"Mamão, Formosa, cru","86,9",45,"0,8","0,1","11,6"
Carnes e derivados,"Hambúrguer, bovino, grelhado","59,2",210,"13,2","12,4","11,3"
Frutas e derivados,"Caju, suco concentrado, envasado","88,4",45,"0,4","0,2","10,7"
Frutas e derivados," Mamão verde, doce em calda, drenado","41,9",209,"0,3","0,1","57,6"
Frutas e derivados,"Caju, cru","88,1",43,"1,0","0,3","10,3"
Carnes e derivados (Mar),"Cação, posta, com farinha de trigo, frita","60,6",208,"25,0","10,0","3,1"
Carnes e derivados (Mar),"Corvina grande, cozida","73,6",100,"23,4","2,6","0,0"
Carnes e derivados,"Frango, coração, grelhado","63,5",207,"22,4","12,1","0,6"
Frutas e derivados,"Maracujá, suco concentrado, envasado","88,9",42,"0,8","0,2","9,6"
Carnes e derivados,"Carne, bovina, contra-filé, com gordura, cru","65,7",206,"21,2","12,8","0,0"
"Verduras, hortaliças e derivados","Repolho, roxo, refogado","88,7",42,"1,8","1,2","7,6"
Frutas e derivados,"Pequi, cru","65,9",205,"2,3","18,0","13,0"
Carnes e derivados (Mar),"Corvina do mar, crua","79,4",94,"18,6","1,6","0,0"
Carnes e derivados,"Carne, bovina, contra-filé de costela, cru","66,4",202,"19,8","13,1","0,0"
Frutas e derivados,"Figo, cru","88,2",41,"1,0","0,2","10,2"
Produtos açucarados,"Doce, de abóbora, cremoso","43,9",199,"0,9","0,2","54,6"
Carnes e derivados,"Presunto, sem capa de gordura","77,2",94,"14,3","2,7","2,1"
Carnes e derivados,"Frango, caipira, inteiro, sem pele, cozido","61,4",196,"29,6","7,7","0,0"
Frutas e derivados,"Jamelão, cru","87,7",41,"0,5","0,1","10,6"
Frutas e derivados," Mamão, doce em calda, drenado","45,5",196,"0,2","0,1","54,0"
Frutas e derivados,"Laranja, da terra, suco","89,2",41,"0,7","0,1","9,6"
Carnes e derivados,"Carne, bovina, flanco, sem gordura, cozido","62,0",196,"29,4","7,8","0,0"
Carnes e derivados,"Peru, congelado, cru","78,2",94,"18,1","1,8","0,0"
Outros alimentos industrializados,"Azeitona, preta, conserva","68,5",194,"1,2","20,3","5,5"
Frutas e derivados,"Mamão, Papaia, cru","88,6",40,"0,5","0,1","10,4"
Carnes e derivados,"Carne, bovina, músculo, sem gordura, cozido","62,8",194,"31,2","6,7","0,0"
Carnes e derivados (Mar),"Porquinho, cru","79,2",93,"20,5","0,6","0,0"
Carnes e derivados,"Carne, bovina, contra-filé, sem gordura, grelhado","57,5",194,"35,9","4,5","0,0"
"Verduras, hortaliças e derivados","Cebola, crua","88,9",39,"1,7","0,1","8,9"
Carnes e derivados,"Carne, bovina, paleta, sem gordura, cozida","62,9",194,"29,7","7,4","0,0"
Frutas e derivados,"Laranja, lima, suco","89,7",39,"0,7","0,1","9,2"
Carnes e derivados (Mar),"Merluza, filé, frito","63,5",192,"26,9","8,5","0,0"
Leguminosas e derivados,"Soja, extrato solúvel, natural, fluido","91,3",39,"2,4","1,6","4,3"
Carnes e derivados (Mar),"Pintado, assado","57,0",192,"36,5","4,0","0,0"
Frutas e derivados,"Maracujá, polpa, congelada","88,9",39,"0,8","0,2","9,6"
Carnes e derivados,"Carne, bovina, almôndegas, cruas","64,3",189,"12,3","11,2","9,8"
"Verduras, hortaliças e derivados","Feijão, broto, cru","87,5",39,"4,2","0,1","7,8"
Carnes e derivados,"Frango, inteiro, sem pele, assado","63,2",187,"28,0","7,5","0,0"
Carnes e derivados (Mar),"Abadejo, filé, congelado,cozido","79,7",91,"19,3","0,9","0,0"
Carnes e derivados,"Porco, pernil, cru","67,1",186,"20,1","11,1","0,0"
"Verduras, hortaliças e derivados","Abóbora, cabotian, crua","88,5",39,"1,7","0,5","8,4"
Frutas e derivados,"Figo, enlatado, em calda","48,8",184,"0,6","0,2","50,3"
Carnes e derivados (Mar),"Pintado, cru","80,3",91,"18,6","1,3","0,0"
Frutas e derivados,"Graviola, polpa, congelada","89,2",38,"0,6","0,1","9,8"
"Verduras, hortaliças e derivados","Nhoque, batata, cozido","55,0",181,"5,9","1,9","36,8"
Frutas e derivados,"Tangerina, Poncã, crua","89,2",38,"0,8","0,1","9,6"
Frutas e derivados,"Ameixa, em calda, enlatada, drenada ","50,3",177,"1,0","0,3","47,7"
Ovos e derivados,"Ovo, de codorna, inteiro, cru","71,7",177,"13,7","12,7","0,8"
Carnes e derivados (Mar),"Camarão, Rio Grande, grande, cozido","78,7",90,"19,0","1,0","0,0"
Carnes e derivados,"Porco, lombo, cru","67,7",176,"22,6","8,8","0,0"
Frutas e derivados,"Laranja, pêra, crua","89,6",37,"1,0","0,1","8,9"
Nozes e sementes,"Pinhão, cozido","50,5",174,"3,0","0,7","43,9"
Miscelâneas,"Fermento em pó, químico","7,1",90,"0,5","0,1","43,9"
Alimentos preparados,Estrogonofe de carne,"70,1",173,"15,0","10,8","3,0"
Frutas e derivados,"Caju, polpa, congelada","89,8",37,"0,5","0,2","9,4"
Cereais e derivados,"Pamonha, barra para cozimento, pré-cozida","61,3",171,"2,6","4,8","30,7"
